time,raw_acc,filtered_acc,filtered_velocity,displacement
24.2688,0.057412908000000006,-0.015621800756003584,-0.013446321285593782,0.018335213313547614
24.27,0.10686508000000002,-0.021200235488565117,-0.013515655978869577,0.018319036127188926
24.2713,0.15631784,-0.02643539754667093,-0.013593967770205353,0.01830141487175202
24.2725,0.24286066000000003,-0.032148105187771184,-0.01367657400592757,0.018285052546686328
24.2737,0.21195244000000002,-0.03905166334102163,-0.013766857851752266,0.018268586487571712
24.275,0.16868152,-0.04761516490578624,-0.013870863472375657,0.018250621968711068
24.2763,0.10068422000000002,-0.05804714649730401,-0.01398732470205947,0.01823251414639768
24.2775,0.11304692000000001,-0.07037753352418562,-0.014112269130329256,0.018215654390098236
24.2788,0.13159146000000002,-0.0845315746510393,-0.014260958912385298,0.018197211791870463
24.28,0.13159146000000002,-0.10032399844278617,-0.014419980708493315,0.018180003228097926
24.2812,0.057412908000000006,-0.11741123345933592,-0.01459884023994416,0.018162591935528903
24.2825,0.007960295000000001,-0.13529331057659988,-0.014811426876009228,0.018143475261903526
24.2838,-0.072400244,-0.15339926984193447,-0.01504751637645338,0.018124066948789416
24.285,-0.097126526,-0.17121627141164675,-0.015290836016232264,0.01810586393735379
24.2862,-0.060037054000000006,-0.18839365597103686,-0.015555263631193278,0.018087356277565324
24.2875,-0.004402865600000001,-0.20474941813472955,-0.015859579983574512,0.018066936629215716
24.2888,-0.035310772000000004,-0.22017048073421674,-0.016184663320435288,0.018046107871068157
24.29,-0.07858179,-0.23450452468171856,-0.01650646612789594,0.01802649319339915
24.2913,-0.14039774000000002,-0.24754335162996932,-0.01686890780708139,0.0180047992003414
24.2925,-0.14657958000000001,-0.2590922196321951,-0.01722211281907861,0.017984344587965693
24.2937,-0.17130498,-0.26905171354154617,-0.01758833631269313,0.017963458318486617
24.295,-0.15894228000000002,-0.2774629063164176,-0.017993021769123107,0.017940330435733426
24.2963,-0.10948952000000002,-0.28450271133345867,-0.018407864549799625,0.017916669859626182
24.2975,-0.047673864,-0.29041232498530134,-0.01880249323287868,0.01789434364495656
24.2988,-0.047673864,-0.2953631678816183,-0.019233041853541907,0.017869620547150376
24.3,-0.072400244,-0.29932890919045463,-0.019639766896556186,0.017846296861900302
24.3012,-0.097126526,-0.3020360069053112,-0.020050611247445328,0.017822482635013886
24.3025,-0.11567136,-0.30299171150037874,-0.02049402062862035,0.017796128624294506
24.3038,-0.12185320000000001,-0.30154062156503836,-0.020937224331357224,0.01776919831507051
